antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Mascara', 'Lip liner', 'Eyeliner'})","frozenset({'Eye shadow', 'Concealer'})",0.069,0.149,0.052,0.753623188,5.057873748,0.041719,3.454058824
frozenset({'Nail Polish'}),"frozenset({'Eye shadow', 'Mascara', 'Eyeliner'})",0.149,0.073,0.055,0.369127517,5.056541326,0.044123,1.469393617
"frozenset({'Eye shadow', 'Concealer', 'Mascara'})","frozenset({'Lip Gloss', 'Bronzer'})",0.073,0.149,0.055,0.753424658,5.056541326,0.044123,3.451277778
"frozenset({'Mascara', 'Nail Polish'})","frozenset({'Eye shadow', 'Bronzer'})",0.149,0.093,0.068,0.456375839,4.907267085,0.054143,1.668432099
"frozenset({'Concealer', 'Blush'})","frozenset({'Eye shadow', 'Mascara', 'Lip liner'})",0.093,0.149,0.068,0.731182796,4.907267085,0.054143,3.16572
"frozenset({'Mascara', 'Eyeliner'})","frozenset({'Eye shadow', 'Nail Polish'})",0.149,0.097,0.069,0.463087248,4.774095344,0.054547,1.6818375
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Mascara', 'Blush', 'Bronzer'})",0.097,0.149,0.069,0.711340206,4.774095344,0.054547,2.948107143
frozenset({'Eyeliner'}),"frozenset({'Concealer', 'Lipstick', 'Lip Gloss'})",0.123,0.092,0.054,0.43902439,4.772004242,0.042684,1.618608696
"frozenset({'Eye shadow', 'Concealer', 'Blush', 'Lip Gloss'})",frozenset({'Mascara'}),0.092,0.123,0.054,0.586956522,4.772004242,0.042684,2.123263158
"frozenset({'Brushes', 'Mascara'})","frozenset({'Eye shadow', 'Concealer'})",0.149,0.078,0.055,0.369127517,4.732404061,0.043378,1.461468085
"frozenset({'Eye shadow', 'Concealer', 'Lip liner'})","frozenset({'Mascara', 'Bronzer'})",0.078,0.149,0.055,0.705128205,4.732404061,0.043378,2.886
"frozenset({'Concealer', 'Foundation', 'Lipstick'})",frozenset({'Eyeliner'}),0.124,0.107,0.062,0.5,4.672897196,0.048732,1.786
"frozenset({'Mascara', 'Lipstick', 'Eyeliner'})",frozenset({'Eye shadow'}),0.107,0.124,0.062,0.579439252,4.672897196,0.048732,2.082933333
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Lip liner', 'Bronzer'})",0.149,0.072,0.05,0.33557047,4.660700969,0.039272,1.396686869
frozenset({'Concealer'}),"frozenset({'Lip Gloss', 'Eye shadow', 'Mascara', 'Bronzer'})",0.072,0.149,0.05,0.694444444,4.660700969,0.039272,2.785090909
"frozenset({'Mascara', 'Eyeliner', 'Bronzer'})",frozenset({'Eye shadow'}),0.119,0.092,0.05,0.420168067,4.567044209,0.039052,1.565971014
"frozenset({'Mascara', 'Blush', 'Lip Gloss'})","frozenset({'Eye shadow', 'Concealer'})",0.092,0.119,0.05,0.543478261,4.567044209,0.039052,1.929809524
"frozenset({'Foundation', 'Mascara', 'Concealer'})",frozenset({'Eye shadow'}),0.131,0.092,0.055,0.419847328,4.563557916,0.042948,1.565105263
"frozenset({'Eye shadow', 'Mascara', 'Blush'})","frozenset({'Concealer', 'Lip Gloss'})",0.092,0.131,0.055,0.597826087,4.563557916,0.042948,2.160756757
"frozenset({'Brushes', 'Eye shadow'})","frozenset({'Mascara', 'Concealer'})",0.149,0.081,0.055,0.369127517,4.557129837,0.042931,1.456712766
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Brushes', 'Mascara', 'Nail Polish'})",0.081,0.149,0.055,0.679012346,4.557129837,0.042931,2.651192308
frozenset({'Bronzer'}),"frozenset({'Eye shadow', 'Concealer', 'Lip Gloss'})",0.137,0.093,0.058,0.423357664,4.552232949,0.045259,1.572898734
"frozenset({'Concealer', 'Foundation'})","frozenset({'Eye shadow', 'Mascara', 'Blush'})",0.093,0.137,0.058,0.623655914,4.552232949,0.045259,2.293114286
"frozenset({'Mascara', 'Concealer', 'Lip liner'})",frozenset({'Eye shadow'}),0.134,0.092,0.056,0.417910448,4.542504867,0.043672,1.559897436
"frozenset({'Eye shadow', 'Concealer', 'Mascara'})","frozenset({'Blush', 'Lip Gloss'})",0.092,0.134,0.056,0.608695652,4.542504867,0.043672,2.213111111
"frozenset({'Concealer', 'Lip liner', 'Bronzer'})",frozenset({'Eye shadow'}),0.149,0.074,0.05,0.33557047,4.534736078,0.038974,1.393676768
"frozenset({'Lip Gloss', 'Mascara', 'Bronzer'})","frozenset({'Eye shadow', 'Concealer'})",0.074,0.149,0.05,0.675675676,4.534736078,0.038974,2.623916667
"frozenset({'Brushes', 'Eye shadow', 'Concealer'})",frozenset({'Mascara'}),0.149,0.083,0.056,0.375838926,4.528179833,0.043633,1.469172043
"frozenset({'Brushes', 'Mascara', 'Concealer'})",frozenset({'Eye shadow'}),0.149,0.083,0.056,0.375838926,4.528179833,0.043633,1.469172043
frozenset({'Eye shadow'}),"frozenset({'Mascara', 'Blush', 'Foundation', 'Lip Gloss'})",0.083,0.149,0.056,0.674698795,4.528179833,0.043633,2.616037037
frozenset({'Blush'}),"frozenset({'Eye shadow', 'Mascara', 'Foundation', 'Lip Gloss'})",0.083,0.149,0.056,0.674698795,4.528179833,0.043633,2.616037037
frozenset({'Mascara'}),"frozenset({'Concealer', 'Eyeliner', 'Bronzer'})",0.141,0.093,0.058,0.411347518,4.423091588,0.044887,1.540807229
"frozenset({'Blush', 'Foundation'})","frozenset({'Eye shadow', 'Concealer', 'Mascara'})",0.093,0.141,0.058,0.623655914,4.423091588,0.044887,2.282485714
"frozenset({'Mascara', 'Concealer'})","frozenset({'Eyeliner', 'Bronzer'})",0.141,0.107,0.066,0.468085106,4.374627162,0.050913,1.67884
"frozenset({'Mascara', 'Lip Gloss'})","frozenset({'Eye shadow', 'Eyeliner'})",0.107,0.141,0.066,0.61682243,4.374627162,0.050913,2.241780488
"frozenset({'Eye shadow', 'Mascara', 'Lip liner'})",frozenset({'Bronzer'}),0.123,0.097,0.052,0.422764228,4.358394099,0.040069,1.564352113
"frozenset({'Concealer', 'Bronzer'})","frozenset({'Eye shadow', 'Mascara', 'Blush'})",0.097,0.123,0.052,0.536082474,4.358394099,0.040069,1.890422222
"frozenset({'Eye shadow', 'Lip liner'})","frozenset({'Mascara', 'Blush'})",0.201,0.071,0.062,0.308457711,4.344474809,0.047729,1.343374101
"frozenset({'Concealer', 'Bronzer'})","frozenset({'Eye shadow', 'Mascara', 'Eyeliner'})",0.071,0.201,0.062,0.873239437,4.344474809,0.047729,6.303222222
frozenset({'Blush'}),"frozenset({'Eye shadow', 'Concealer', 'Eyeliner'})",0.204,0.07,0.062,0.303921569,4.341736695,0.04772,1.336056338
"frozenset({'Eye shadow', 'Concealer', 'Mascara', 'Eyeliner'})",frozenset({'Lip liner'}),0.07,0.204,0.062,0.885714286,4.341736695,0.04772,6.965
"frozenset({'Concealer', 'Bronzer'})","frozenset({'Eye shadow', 'Lip Gloss'})",0.137,0.112,0.066,0.481751825,4.301355579,0.050656,1.713464789
"frozenset({'Eye shadow', 'Foundation'})","frozenset({'Mascara', 'Lip Gloss'})",0.112,0.137,0.066,0.589285714,4.301355579,0.050656,2.101217391
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Brushes', 'Mascara'})",0.149,0.099,0.063,0.422818792,4.270896888,0.048249,1.561034884
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Blush', 'Nail Polish'})",0.099,0.149,0.063,0.636363636,4.270896888,0.048249,2.34025
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Foundation'})",0.131,0.097,0.054,0.41221374,4.24962619,0.041293,1.536272727
frozenset({'Bronzer'}),"frozenset({'Eye shadow', 'Concealer', 'Blush', 'Mascara'})",0.097,0.131,0.054,0.556701031,4.24962619,0.041293,1.960302326
"frozenset({'Eye shadow', 'Concealer'})","frozenset({'Mascara', 'Lip liner'})",0.134,0.097,0.055,0.410447761,4.231420218,0.042002,1.531670886
"frozenset({'Concealer', 'Mascara'})","frozenset({'Eye shadow', 'Blush', 'Bronzer'})",0.097,0.134,0.055,0.567010309,4.231420218,0.042002,2.000047619
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Concealer', 'Lip Gloss'})",0.131,0.112,0.062,0.473282443,4.225736096,0.047328,1.685913043
"frozenset({'Mascara', 'Lip Gloss'})","frozenset({'Eye shadow', 'Foundation'})",0.112,0.131,0.062,0.553571429,4.225736096,0.047328,1.94656
"frozenset({'Eye shadow', 'Mascara'})","frozenset({'Blush', 'Foundation'})",0.201,0.063,0.053,0.263681592,4.185422096,0.040337,1.272547297
"frozenset({'Eye shadow', 'Foundation'})","frozenset({'Concealer', 'Mascara', 'Eyeliner'})",0.063,0.201,0.053,0.841269841,4.185422096,0.040337,5.0337
"frozenset({'Mascara', 'Concealer'})","frozenset({'Lip liner', 'Bronzer'})",0.149,0.119,0.074,0.496644295,4.173481473,0.056269,1.750253333
"frozenset({'Lip Gloss', 'Eye shadow', 'Bronzer'})",frozenset({'Mascara'}),0.119,0.149,0.074,0.621848739,4.173481473,0.056269,2.250422222
frozenset({'Mascara'}),"frozenset({'Eye shadow', 'Nail Polish', 'Lip Gloss'})",0.149,0.087,0.054,0.362416107,4.165702384,0.041037,1.431968421
